"packetSentToPeerWithoutRetry:vector(packetBytes) manet.host[0].wlan[0].mac.dcf ($rateControl="""", $bitrate=6, #0 - Dynamic-0-20220517-11:59:51-11324)",
0.110214725807,92
0.121666488356,104
0.125130407739,116
0.128938368694,110
0.130396705183,122
0.130606458661,122
0.131210054051,116
0.132191793221,110
0.134416536521,116
0.134499536521,122
0.137851318754,122
0.138525366877,122
0.138725366877,122
0.14310585605,116
3.107908584096,92
3.127701936978,104
3.134137389841,116
3.1352360252,110
3.1354360252,122
3.1355100252,116
3.138932786002,116
3.143952629684,128
3.144991048948,122
3.145589972113,128
3.155338492001,128
7.110178577967,92
7.120345758735,104
7.126353634391,110
7.13470337586,116
7.135814935135,116
7.138201966149,122
7.140686345574,64
7.143156793543,14
7.143745436188,14
7.144882806933,14
7.147364510954,1500
7.150349018394,864
7.161767893037,14
7.162160893024,14
7.162770034529,14
7.163048034529,1500
7.169350407376,14
7.170798609673,14
7.172044811624,14
7.18162384299,14
7.184689401513,14
7.184956401513,864
7.189659959591,14
7.189913599111,14
7.193550958849,14
7.197753597861,1500
7.198201597835,14
7.199604236712,864
7.2014205143,1500
7.202976152949,864
7.223259967624,944
7.22407160486,1500
7.224953242032,864
7.237460975656,1500
7.250459624461,14
7.250935259888,14
7.251170895292,14
7.252373895292,864
7.252808530608,1500
7.253564165861,864
7.253980801097,1500
7.256903436127,864
7.265777532511,944
7.277628807642,1500
7.278530812064,864
7.279653445567,14
7.279781079054,14
7.28025671252,14
7.280676712506,14
7.28952797866,1500
7.291236611397,864
7.291581244117,1500
7.298691780677,864
7.304651579537,1500
7.307733842913,864
7.311807474285,944
7.321091699128,14
7.321441329848,14
7.329265952755,1500
7.329482582948,864
7.330093213106,1500
7.331064843195,864
7.331927473236,1500
7.340979158024,864
7.348040786996,1500
7.34928304481,864
7.360560198148,944
7.363693454195,1500
7.375929750428,864
7.37630137753,1500
7.376518004611,864
7.377353631643,1500
7.377570258654,864
7.379478885511,1500
7.383547138965,864
7.384514765521,944
7.384958392057,1500
7.398751643588,864
7.399087269186,1500
7.400786894667,864
7.402068520071,1500
7.406423145096,864
7.407150770168,1500
7.407951395178,864
7.409045020124,944
7.418540988324,1500
7.419359612584,864
7.428960236311,1500
7.429877859881,864
7.431695483338,1500
7.438224106284,864
7.446561351471,1500
7.449816973735,864
7.450090595982,944
7.450471218212,1500
7.454769840152,864
7.455659462046,1500
7.455876083913,864
7.457148705701,1500
7.459190327352,864
7.464224570202,1500
7.467416191315,864
7.468180812381,944
7.471662433223,1500
7.472598053998,864
7.483591674724,1500
7.485255294674,864
7.486090914579,1500
7.486999534415,864
7.487452154234,1500
7.489061773936,864
7.489371393621,944
7.489788013286,1500
7.490004632927,864
7.493024252383,1500
7.494597871724,864
7.495023491048,1500
7.495797110311,864
7.496587729535,1500
7.498260348638,864
7.499155967682,944
7.50294358649,1500
7.504337205198,864
7.512096823565,1500
7.523554041191,864
7.525146658558,1500
7.544862762804,864
7.545270378867,1500
7.545486994906,864
7.548544226659,944
7.549256842459,1500
7.549473458241,864
7.550854073946,1500
7.55482778954,864
7.557302404825,1500
7.577056115902,864
7.578765343761,1500
7.583810745755,864
7.588908358961,944
7.589288972183,1500
7.592869585119,864
7.597487197812,1500
7.616257284254,864
7.617385895674,1500
7.618806506991,864
7.619160118292,1500
7.62511472911,864
7.625879339979,944
7.626771950795,1500
7.631709561286,864
7.63438278208,1500
7.636235392281,864
7.636891002447,1500
7.637107612592,864
7.638416222661,1500
7.643497832397,864
7.643834442117,944
7.65146744211,1500
7.654570051139,864
7.671216045924,1500
7.681336721937,864
7.698242454934,1500
7.700502667241,864
7.708378667241,1500
7.710384272719,864
7.728969668598,944
7.729332272883,1500
7.735120480728,864
7.746646532114,1500
7.746863135284,864
7.748153738382,1500
7.748370341458,864
7.748813944517,1500
7.751709547382,864
7.752321150215,944
7.762901423988,1500
7.763118026134,864
7.782457390189,1500
7.782673991105,864
7.784220861541,1500
7.78595646225,864
7.786346062943,1500
7.788117663517,864
7.788445264074,944
7.789229864588,1500
7.805806064968,864
7.820120530946,1500
7.82817412894,864
7.828617726988,1500
7.828834325011,864
7.829507922997,1500
7.831189520873,864
7.831535118732,944
7.834206716429,1500
7.834423314103,864
7.847258314103,1500
7.847474910963,864
7.85345636062,1500
7.867647805501,864
7.879271995951,1500
7.893730590495,864
7.894031184464,944
7.894905778384,1500
7.906497778384,864
7.907788371505,1500
7.908633964567,864
7.915341150158,1500
7.915557742792,864
7.915902335411,1500
7.916118928011,864
7.916446520595,944
7.923582947509,116
7.923759947509,140
7.924100947509,1500
7.926519539467,864
7.926873131408,1500
7.93089413325,864
7.93787772449,1500
7.94844835067,864
7.96359838153,1500
7.965054971116,864
7.978688596979,1500
7.983818762194,864
7.995386554536,944
8.010748140878,92
8.010881140878,92
8.011050140878,86
8.023718029907,110
8.032378077901,122
8.035978744776,122
8.037278242241,122
8.037868988904,122
8.038551381702,122
8.040719951913,122
8.625722745832,128
8.627469086476,134
8.629982862266,134
8.63242274544,140
8.636247917896,140
8.676271620566,110
8.685734664223,116
8.689267612614,122
8.690943491161,122
8.694294231137,122
8.694494231137,122
8.694649231137,116
8.697387824148,122
8.697762328421,122
9.623150706617,64
9.62463481083,14
9.626036887118,14
9.640499107314,1500
9.660159801998,864
9.694113188206,1500
9.70628760506,864
9.722333103731,1500
9.725582519931,864
9.725929936122,1500
9.72681435228,864
9.734600721368,944
9.744402796732,1500
9.764940796732,864
9.811221708463,1500
9.811441121772,864
9.813333535025,1500
9.830479667494,864
9.830917080159,1500
9.846378978064,864
9.861931508902,944
9.891596508902,1500
9.89181591954,864
9.899812802257,1500
9.917470802257,864
9.926297211762,1500
9.939248292024,864
9.954549292024,1500
10.001250292024,864
10.039357572729,944
10.057561414648,1500
10.075399414648,864
10.105705819254,1500
10.133451222068,864
10.148248222068,1500
10.148467624406,864
10.158760435913,1500
10.177966435913,864
10.17832383731,944
10.192554802164,1500
10.195380203022,864
10.207871559496,1500
10.222046559496,864
10.223163959487,1500
10.231765359422,864
10.243719097346,1500
10.289340097346,864
10.313732097346,944
10.321726494279,1500
10.330447494279,864
10.348732814913,1500
10.387315814913,864
10.404040209336,1500
10.415632209336,864
10.429322209336,1500
10.464737209336,864
10.511161209336,944
10.521298600238,1500
10.523745991053,864
10.535657698885,1500
10.536461089335,864
10.541340089335,1500
10.541559479633,864
10.541915869924,1500
10.555880744954,864
10.556657134808,944
10.564821315421,1500
10.565040705027,864
10.577893575441,1500
10.594633575441,864
10.600772964003,1500
10.610507736639,864
10.632895718858,1500
10.638676106308,864
10.649032904564,944
10.653502043249,1500
10.664074429963,864
10.666621816581,1500
10.673974365206,864
10.690489242853,1500
10.690708628797,864
10.704378014723,1500
10.704597400269,864
10.704864785807,944
10.715366171295,1500
10.716295556505,864
10.726151556505,1500
10.742144556505,864
10.744953940898,1500
10.760533417419,864
10.767544885497,1500
10.772107269115,864
10.772985652725,944
10.781588677422,1500
10.786718060626,864
10.795404060626,1500
10.796719443548,864
10.805371826232,1500
10.820203826232,864
10.82721026278,1500
10.84263626278,864
10.85553526278,944
10.896264643544,1500
10.919095023051,864
10.930493625233,1500
10.932079004382,864
10.944261603136,1500
10.968264603136,864
10.981109980945,1500
10.989217358531,864
10.996903736092,944
10.997332113462,1500
11.002559490686,864
11.008310244905,1500
11.023315821833,864
11.023708198487,1500
11.037429574716,864
11.04582952678,1500
11.06256952678,864
11.067852465844,944
11.078770216297,1500
11.078989591462,864
11.07970196661,1500
11.090940523166,864
11.105395523166,1500
11.143330523166,864
11.153911896347,1500
11.158825269395,864
11.16020064241,944
11.172376909159,1500
11.188486909159,864
11.204650437159,1500
11.239750437159,864
11.28445929038,1500
11.312744659443,864
11.323698156637,1500
11.328908525289,864
11.344330018111,944
11.344758386365,1500
11.345561754595,864
11.350487980375,1500
11.359460980375,864
11.368985348245,1500
11.396804348245,864
11.407475714921,1500
11.414041860107,864
11.415237226589,944
11.422868593048,1500
11.437442325452,864
11.458775251538,1500
11.467206616729,864
11.475182072861,1500
11.47540143785,864
11.475748802832,1500
11.495224257341,864
11.497410621795,944
11.512243010578,1500
11.513882374625,864
11.514977738649,1500
11.527691671664,864
11.528634318588,1500
11.529410682256,864
11.53259504585,1500
11.54120540936,864
11.545421772575,944
11.561489716467,1500
11.573315716467,864
11.573663079066,1500
11.582362418461,864
11.602415418461,1500
11.605783780288,864
11.613295469112,1500
11.624176469112,864
11.633331830282,944
11.635396453296,1500
11.643820453296,864
11.64421281421,1500
11.658466864506,864
11.677768272305,1500
11.713183272305,864
11.751631877879,1500
11.783813235534,864
11.796713181289,944
11.809192181289,64
11.815932181289,1500
11.852607181289,864
11.852800537371,86
11.852978537371,92
11.853134537371,64
11.861642929677,64
11.861816929677,64
12.647858041614,92
12.648290381434,14
12.661438270788,1500
12.685020207196,864
12.685412546346,1500
12.687511146558,864
12.687912485663,1500
12.700682884096,864
12.701922222948,1500
12.71801536863,864
12.719102707173,944
12.725000760848,1500
12.74669489959,864
12.776692237619,1500
12.798956574747,864
12.805043287683,1500
12.807473624663,864
12.814051117555,1500
12.830359117555,864
12.830991454128,944
12.83169779069,1500
12.834119127207,864
12.847989127207,1500
12.848208463481,864
12.857759573947,1500
12.857978910053,864
12.866541582064,1500
12.885045582064,864
12.887190917672,944
12.897473041083,1500
12.915248041083,864
12.942726041083,1500
12.942945375751,864
12.952978475397,1500
12.954554809871,864
12.955941144333,1500
12.971898144333,864
12.975735559539,944
12.980947559539,1500
12.995653559539,864
13.021021966234,1500
13.032613966234,864
13.048054632319,1500
13.048839965249,864
13.04950729817,1500
13.06766029817,864
13.08809229817,944
13.122495962157,1500
13.124944293877,864
13.129376669608,1500
13.130225001244,864
13.141881001244,1500
13.149495001244,864
13.149869332575,1500
13.153852995162,864
13.165491995162,944
13.165821326245,1500
13.174544766214,864
13.175176097153,1500
13.185957097138,864
13.197170427739,1500
13.211087123119,864
13.213168453476,1500
13.229521453476,864
13.231412113647,944
13.23175044372,1500
13.233827394885,864
13.2356027249,1500
13.249884054754,864
13.263929693499,1500
13.272950022953,864
13.286676022953,1500
13.305117022953,864
13.356403969362,944
13.39953222983,1500
13.404709557367,864
13.405930884888,1500
13.406779212396,864
13.415002679063,1500
13.417038006425,864
13.430365910521,1500
13.442711237523,864
13.445546458784,944
13.45853978574,1500
13.46433411244,864
13.471807359182,1500
13.473698685753,864
13.474339012317,1500
13.474558338876,864
13.491736893207,1500
13.508845893207,864
13.513362086647,944
13.523893086647,1500
13.538923086647,864
13.563776263694,1500
13.56399558904,864
13.576010530821,1500
13.591535530821,864
13.591972855798,1500
13.594044180746,864
13.596293505665,944
13.597574830568,1500
13.608408554211,864
13.608764878967,1500
13.609514203712,864
13.622016203712,1500
13.640527229583,864
13.669406553921,1500
13.702706553921,864
13.718264666584,944
13.728856189827,1500
13.740295189827,864
13.754480189827,1500
13.802243189827,864
13.819133397744,1500
13.819981719858,864
13.824776223325,1500
13.826577545361,864
13.829564867362,944
13.837944867362,1500
13.83816418926,864
13.853530604173,1500
13.869433604173,864
13.871557098492,1500
13.885750098492,864
13.886088419831,1500
13.887098741157,864
13.900106003858,944
13.911147324917,1500
13.911905645958,864
13.924874509046,1500
13.936088509046,864
13.963619366126,1500
14.003840366126,864
14.044089366126,1500
14.081745366126,864
14.082021685301,944
14.097390151555,1500
14.101979470522,864
14.103002789481,1500
14.10566710841,864
14.106086427337,1500
14.110191566468,864
14.126479696713,1500
14.129729015394,864
14.145520334065,944
14.156528334065,1500
14.182410652214,864
14.196298652214,1500
14.216728652214,864
14.255906448216,1500
14.265385765559,864
14.276264337045,1500
14.285768337045,864
14.326810337045,944
14.359652337045,1500
14.362165653494,864
14.369125969882,1500
14.370603286255,864
14.371968602617,1500
14.373418918966,864
14.374122235309,1500
14.3899279966,864
14.400904755767,944
14.434123833819,1500
14.470942833819,864
14.475579149286,1500
14.486741574883,864
14.490264628674,1500
14.499812259272,864
14.506115574488,1500
14.506963889695,864
14.515598938364,944
14.530699253491,1500
14.551721568338,864
14.552798883177,1500
14.567067607594,864
14.567504922318,1500
14.582223329164,864
14.593078329164,1500
14.597292643655,864
14.597897958142,944
14.613017958137,92
14.625704958137,86
14.628780958137,92
14.631843958137,64
14.639640760283,64
14.648768929392,92
14.64996084646,104
14.65066484646,110
14.656903951574,116
14.66028055597,110
14.665607897078,110
14.674018071858,122
14.675820071858,122
14.676821071858,116
14.680630071858,122
14.682216071858,122
14.687676731525,64
14.687981641819,14
14.688091641819,122
14.688346641819,64
14.692659641819,122
14.696095641819,92
14.696339550668,92
14.703743550668,92
14.703960458187,92
14.704273365636,92
14.704640273021,92
14.705151180318,92
14.708902086966,92
14.709304993539,92
14.710379899929,92
14.710569806294,92
14.712649712303,92
14.713238618197,92
14.713722524016,92
14.714188429743,92
14.714528335418,92
14.714655241061,86
15.730308458191,98
15.77120629598,86
15.775144672464,104
15.778600905852,92
15.781382803096,110
15.781918750184,110
15.78314392449,110
15.783793680365,122
15.783984464234,116
15.784978143805,116
15.785924089649,104
15.788963525274,104
15.789603568292,122
15.791737286255,116
15.792032973863,122
15.794453251711,122
15.794608251711,122
15.795811819049,128
15.797179357286,122
15.8013050236,122
15.80183471264,122
15.804530950753,128
15.806202479597,122
15.806500582882,128
15.807571543839,116
15.807877558378,122
15.80929421838,128
15.810496987794,122
15.811843620626,122
15.824829768086,128
15.825055886668,128
15.82702665634,128
15.854894300013,64
16.854894300013,64
17.854894300013,64
18.948017732213,64
19.78038074634,92
19.787026248105,110
19.787772382354,14
19.789699025386,116
19.790380094194,122
19.791164151119,110
19.794852099253,116
19.795974997178,128
19.799066878006,140
19.799574906212,128
19.801388506055,128
19.801548963125,140
19.801992982688,122
19.802355101242,122
19.802760966479,128
19.804524772975,14
19.804878473734,128
19.805068799165,128
19.805869377348,140
19.806290235415,134
19.806422235415,140
19.806847028299,128
19.80714215686,134
19.807433596985,134
19.807668191878,134
19.808199783776,140
19.808373992954,128
19.808838234142,140
19.809415539355,134
19.809561539355,128
19.810294229298,140
19.810484663947,128
19.810875264882,134
19.811520433712,140
19.811935961156,140
19.812063058505,134
19.812623130232,134
19.814416762909,140
19.815641315236,140
19.815795723497,134
19.815950723497,122
19.816118723497,140
19.816839409382,140
19.819216121167,134
19.819838508955,140
19.820218576793,140
19.82081201971,140
19.821859298456,140
19.822468800449,134
19.824868878845,140
19.825356314343,140
19.825735535836,134
19.825948535836,134
19.826599779233,134
19.835331937139,140
19.837769232779,140
19.84098100367,14
19.948017732213,64
20.948017732213,64
21.958884076495,64
22.958884076495,64
22.959364458754,14
22.959660458754,1500
22.969130459317,14
22.976748459317,864
22.996882459317,1500
23.019643459317,864
23.048642459317,1500
23.060531853348,864
23.06091624741,1500
23.07493824741,864
23.075616643222,944
23.084896643222,1500
23.08625804029,864
23.10154943915,1500
23.11569743915,864
23.116383839779,1500
23.117341240539,864
23.119891641581,1500
23.120112042671,864
23.134973042671,944
23.155674042671,1500
23.184348042671,864
23.192392452432,1500
23.20081586323,864
23.20901586323,1500
23.21927586323,864
23.219705276303,1500
23.229857276303,864
23.230107690667,944
23.239621690667,1500
23.245724106939,864
23.254725106939,1500
23.256266524503,864
23.265870524503,1500
23.287128524503,864
23.294726946793,1500
23.311546371181,864
23.319369371181,944
23.322153796862,1500
23.339586796862,864
23.342389225079,1500
23.358004225079,864
23.373854225079,1500
23.407226225079,864
23.407556661497,1500
23.413037098618,864
23.420167098618,944
23.435981098618,1500
23.446981540055,864
23.459924540055,1500
23.460144983174,864
23.464797426871,1500
23.474706426871,864
23.489890426871,1500
23.508206876168,864
23.512258876168,944
23.532797876168,1500
23.559536332129,864
23.560240788172,1500
23.570976245627,864
23.578303245627,1500
23.601118245627,864
23.62208370978,1500
23.63142570978,864
23.633680175475,944
23.635510641399,1500
23.642629641399,864
23.642960108323,1500
23.653382108323,864
23.676603108323,1500
23.705403108323,864
23.715657584944,1500
23.717424061817,864
23.718575538836,944
23.732211538836,1500
23.732971017802,864
23.73835749747,1500
23.74824849747,864
23.75859049747,1500
23.78830849747,864
23.788755983972,1500
23.803128983972,864
23.815748983972,944
23.823530475239,1500
23.836922475239,864
23.848065475239,1500
23.870556475239,864
23.912992475239,1500
23.944213475239,864
23.967668475239,1500
23.97444798749,864
23.980852500642,944
23.988728500642,1500
24.008915500642,864
24.010052017912,1500
24.018404017912,864
24.032895017912,1500
24.070533017912,864
24.101403548218,1500
24.105040079073,864
24.115257079073,944
24.139207079073,1500
24.143953615553,864
24.152351615553,1500
24.153219153378,864
24.161176153378,1500
24.161396692391,864
24.174924692391,1500
24.193500692391,864
24.21586223935,944
24.22720223935,86
24.227434680661,92
24.231257826697,14
24.231535826697,1500
24.235793062384,14
24.24615388209,864
24.252560284897,14
24.264368948895,1500
24.264588442801,864
24.266079936769,1500
24.266923936793,14
24.276241367373,864
24.277255861835,1500
24.283565356529,14
24.284079851298,14
24.284517851307,14
24.287985851384,14
24.288351851392,14
24.288572346366,14
24.291340346366,864
24.291512346431,14
24.292533780647,14
24.299068427212,14
24.299532367296,14
24.301669862808,14
24.302791862833,14
24.30533586289,14
24.306464069162,944
24.311507190409,1500
24.316933686635,864
24.325327183057,14
24.332819183057,1500
24.334658680055,14
24.339078177265,864
24.34166967455,14
24.34947767455,1500
24.357436172402,14
24.3662891726,14
24.367508671064,14
24.367803169562,14
24.368281668077,14
24.369727668077,864
24.399936263305,1500
24.4231337861,864
24.451472764976,944
24.488319764976,1500
24.501694269498,864
24.50312277408,1500
24.518547272462,864
24.518930777762,1500
24.531900750325,864
24.533923787918,1500
24.534143293916,864
24.548031800041,944
24.572008800041,1500
24.581055308181,864
24.582429844097,1500
24.596577844097,864
24.597506336958,1500
24.613940336958,864
24.61585084669,1500
24.62996284669,864
24.630347357086,944
24.639975946443,1500
24.649893946443,864
24.683491946443,1500
24.734989946443,864
24.772727946443,1500
24.793193464407,864
24.810803563494,1500
24.834509563494,864
24.86175960495,944
24.879138126185,1500
24.880112648241,864
24.885192721243,1500
24.894615721243,864
24.903769721243,1500
24.903989244429,864
24.912643905033,1500
24.915470428763,864
24.923117569992,944
24.935826569992,1500
24.967344569992,864
24.967800096204,1500
24.980433138353,864
24.981546665225,1500
24.991382784555,864
25.000508312334,1500
25.014078954467,864
25.014445482915,944
25.021806011483,1500
25.035288011483,864
25.069950597118,1500
25.070170128251,864
25.070589659397,1500
25.088851264092,864
25.090189796184,1500
25.103895531039,864
25.115741531039,944
25.121664064658,1500
25.126133598516,864
25.127648132427,1500
25.139896132489,864
25.147657667368,1500
25.157611667368,864
25.168483203264,1500
25.176130739536,864
25.181073739536,944
25.197704276205,1500
25.228259276205,864
25.232040815206,1500
25.245549815206,864
25.257450073392,1500
25.257669613658,864
25.273166154261,1500
25.295837154261,864
25.338040154261,944
25.355907699377,1500
25.365156245075,864
25.378406009377,1500
25.392563009377,864
25.412212557295,1500
25.428241557295,864
25.441377106069,1500
25.447157655743,864
25.455771865713,944
25.459148415978,1500
25.468884966742,864
25.475768195966,1500
25.477299747153,864
25.487622963525,1500
25.48860651528,864
25.489283067061,1500
25.492673415016,864
25.493979967016,944
25.504611447857,104
25.504690447857,104
25.504832447857,104
25.504965447857,104
25.505147447857,110
25.505230447857,116
25.505439447857,110
25.505648447857,122
25.505785447857,110
25.506054310516,116
25.506227310516,116
25.506436310516,116
25.506645310516,122
25.506741066887,14
25.506869066887,122
25.507024066887,116
25.507233066887,116
25.507424066887,122
25.507507066887,116
25.507694929262,122
25.507777929262,122
25.507851929262,122
25.508030791578,122
25.508140791578,116
25.508610085557,1500
25.510244486612,864
25.518618405346,1500
25.524841549731,14
25.533878705526,14
25.534163705552,14
25.539739705552,864
25.564285470752,14
25.573298470752,1500
25.581121027185,864
25.593380729727,1500
25.594373286833,864
25.60183799244,944
25.609773474004,14
25.610013248846,14
25.610262023731,14
25.611180023814,14
25.61536802419,14
25.61570002419,1500
25.616862024324,14
25.617888024417,14
25.62840426977,14
25.637188270561,14
25.637437050336,14
25.639234050498,14
25.644713831462,14
25.649326831462,864
25.650222391386,1500
25.655377642473,14
25.65556364249,14
25.65752164249,864
25.660564678197,14
25.661260238711,1500
25.673877234555,14
25.675467234527,14
25.677339792985,864
25.680596354487,1500
25.685276611158,864
25.686188337387,944
25.694496899204,122
25.694665899204,92
25.694882653855,92
25.697036618319,92
25.697226372886,92
25.698514881942,92
25.698989636445,92
25.699518390932,92
25.699957145401,92
25.700209899866,92
25.703700655461,92
25.70431940977,92
25.716008255799,92
25.716519009663,92
25.717443763511,92
25.718897803774,92
25.719529807346,1500
25.720554561098,864
25.734374233737,1500
25.734589986999,864
25.737473740125,92
25.737778740125,1500
25.74835976001,864
25.752511223941,14
25.756009912296,1500
25.769186366212,864
25.809297355023,1500
25.812802917402,864
25.813241729156,1500
25.819524292506,864
25.831784292506,944
25.843533400967,1500
25.861207423738,864
25.873664423738,1500
25.916553197677,864
25.919918433693,14
25.934558744268,14
25.936248860666,14
25.940965249478,14
25.943158297968,14
25.943530297962,14
25.951346272395,1500
25.993338747829,864
25.999618615683,1500
26.0131040359,864
26.022340183182,944
26.032640066187,1500
26.034568919286,864
26.047848831021,1500
26.061352471454,864
26.076197000781,1500
26.09377103985,864
26.10425703985,1500
26.105978906509,864
26.115133906509,944
26.117666775372,1500
26.131462646897,864
26.141696646897,1500
26.150723646897,864
26.183880646897,1500
26.209584533428,864
26.223787533428,1500
26.225671423066,864
26.236365423066,944
26.237208314902,1500
26.245812314902,864
26.255362314902,1500
26.296402314902,864
26.337506314902,1500
26.371949314902,864
26.408166314902,1500
26.432448244971,864
26.444393244971,944
26.466966244971,1500
26.495874244971,864
26.534485244971,1500
26.564770244971,864
26.601977244971,1500
26.647508244971,864
26.677902244971,1500
26.678123224268,864
26.687683224268,944
26.704253224268,1500
26.748533224268,864
26.790287390948,1500
26.823740390948,864
26.853261390948,1500
26.879046390948,864
26.919781390948,1500
26.966969213076,864
27.01068953231,944
27.011092580327,1500
27.022850629198,864
27.044376017717,1500
27.072026840783,864
27.077772795213,14
27.081858795253,1500
27.083337858521,864
27.084668922041,1500
27.088413986383,864
27.094693943532,14
27.102105943714,944
27.103488011224,1500
27.11679708093,864
27.11712815134,1500
27.119857222342,864
27.132134295935,1500
27.143501259094,14
27.146152259094,864
27.159232336938,1500
27.159453416358,864
27.167915416358,944
27.182010416358,1500
27.20642570229,14
27.224075702394,864
27.241242799259,1500
27.250710799259,864
27.269800799259,1500
27.308887799259,864
27.318115912705,1500
27.329257912705,864
27.3340790296,944
27.3450810296,122
27.3451820296,122
27.3453280296,116
27.34554114904,14
27.34565114904,116
27.34581514904,116
27.34593414904,122
27.34608914904,116
27.34621714904,122
27.3463202686,14
27.3464032686,122
27.3465672686,116
27.3466502686,122
27.3467602686,122
27.3468972686,122
27.3470522686,122
27.3471442686,122
27.3472362686,122
27.3474272686,122
27.3477142686,1500
27.356380998044,14
27.359184998044,864
27.359651120465,1500
27.370586120465,864
27.392179245636,1500
27.429061245636,864
27.460229245636,1500
27.477186393749,864
27.481039542704,944
27.494476542704,86
27.494808542704,1500
27.509784542704,864
27.521953542704,1500
27.551320707137,864
27.559241707137,1500
27.568115707137,864
27.610155707137,1500
27.620804886964,864
27.633046886964,944
27.640984886964,86
27.647786886964,92
27.649053886964,104
27.65651961541,104
27.661413628625,110
27.662222628625,1500
